Date,Ticker,Name,Tag,RSI,Bias,技术评分,MACD金叉,周线共振,KDJ_J回升,量能放大,Hold_Period,Stop_Loss,Score,Status,Scan_Ref_Price,ATR_Pct
2026-08-28,INTC,Intel,Observation,44.3,-3.98,15,False,False,False,False,观望,观望,N/A,pending,92.09,6.31,False
2026-08-28,SMCI,Supermicro,Core_Dragon,61.0,10.72,0,False,True,False,False,14天,$216,92,pending,38.46,6.39,False
2026-08-28,AAPL,Apple Inc.,Observation,52.7,1.73,2,False,False,False,False,观望,观望,N/A,pending,314.58,2.26,False
2026-08-28,PFE,Pfizer,Observation,65.4,4.0,0,False,True,False,False,观望,观望,N/A,pending,28.02,2.05,False
2026-08-28,AVGO,Broadcom,Observation,43.9,-5.24,3,False,False,False,False,观望,观望,N/A,pending,371.54,3.81,False
2026-08-28,TTD,Trade Desk (The),Observation,35.3,-9.04,18,True,False,True,True,观望,观望,N/A,pending,13.42,6.09,False
2026-08-28,HAL,Halliburton,Observation,58.2,5.23,12,False,False,True,False,观望,观望,N/A,pending,35.49,2.99,False
2026-08-28,SNDK,Sandisk,Core_Dragon,49.3,2.73,0,False,False,False,False,14天,$216,92,pending,1484.95,9.6,False
2026-08-28,EQT,EQT Corporation,Observation,61.3,2.43,13,False,True,False,True,观望,观望,N/A,pending,54.77,2.58,False
