Date,Ticker,Name,Tag,RSI,Bias,技术评分,估值评分,PE_TTM,PE_Forward,EPS_TTM,PB,MACD金叉,周线共振,KDJ_J回升,量能放大,Hold_Period,Stop_Loss,Stop_Method,Score,Status,Scan_Ref_Price,ATR_Pct,周期共振
2026-09-10,TXN,Texas Instruments,Observation,44.8,-1.1,30,19,39.694992,24.574326,6.59,13.263195,True,False,False,False,观望,观望,ATR初始保护,N/A,pending,261.59,3.21,True
2026-09-10,WRB,W. R. Berkley Corporation,Observation,51.5,1.07,6,19,14.384774,14.441501,4.86,2.799984,False,False,False,True,观望,观望,ATR初始保护,N/A,pending,69.91,1.9,False
2026-09-10,VLO,Valero Energy,Observation,81.0,9.84,23,15,15.973307,11.923904,24.35,4.4794426,False,True,False,False,观望,观望,ATR初始保护,N/A,pending,388.95,2.77,True
2026-09-10,EOG,EOG Resources,Observation,53.9,0.27,15,19,11.440466,10.202552,12.85,2.424467,False,False,False,False,观望,观望,ATR初始保护,N/A,pending,147.01,2.35,False
2026-09-10,CEG,Constellation Energy,Observation,61.8,4.67,0,0,None,None,None,None,False,True,False,False,观望,观望,ATR初始保护,N/A,pending,293.9,3.33,False
2026-09-10,BG,Bunge Global,Observation,63.3,6.61,5,16,26.61638,10.889433,4.64,1.4871993,False,True,False,False,观望,观望,ATR初始保护,N/A,pending,123.5,3.53,False
2026-09-10,PSX,Phillips 66,Observation,78.0,6.76,5,19,14.791833,11.960953,17.63,3.3027685,False,True,False,False,观望,观望,ATR初始保护,N/A,pending,260.78,2.64,False
