Date,Ticker,Name,Tag,RSI,Bias,技术评分,估值评分,PE_TTM,PE_Forward,EPS_TTM,PB,MACD金叉,周线共振,KDJ_J回升,量能放大,Hold_Period,Stop_Loss,Stop_Method,Score,Status,Scan_Ref_Price,ATR_Pct,周期共振
2026-09-14,WMB,Williams Companies,Observation,49.1,-0.46,0,0,None,None,None,None,False,True,False,False,观望,观望,ATR初始保护,N/A,pending,72.85,2.79,False
2026-09-14,COP,ConocoPhillips,Observation,67.8,3.23,0,0,None,None,None,None,False,True,False,False,观望,观望,ATR初始保护,N/A,pending,137.35,2.22,False
2026-09-14,TFC,Truist Financial,Observation,46.5,-0.85,12,19,11.586207,10.13377,4.35,1.0491694,False,False,False,False,观望,观望,ATR初始保护,N/A,pending,50.4,1.86,False
2026-09-14,EOG,EOG Resources,Observation,54.5,0.16,0,0,None,None,None,None,False,False,False,False,观望,观望,ATR初始保护,N/A,pending,147.36,2.36,False
2026-09-14,ACGL,Arch Capital Group,Observation,40.1,-2.43,12,17,7.5187793,9.848001,12.78,1.4065107,False,False,False,False,观望,观望,ATR初始保护,N/A,pending,96.09,1.94,False
2026-09-14,EVRG,Evergy,Observation,47.1,-0.34,16,17,20.768448,17.8794,3.93,1.8407758,False,False,True,False,观望,观望,ATR初始保护,N/A,pending,81.62,1.61,False
