Date,Ticker,Name,Tag,RSI,Bias,技术评分,MACD金叉,周线共振,KDJ_J回升,量能放大,Hold_Period,Stop_Loss,Score,Status,Scan_Ref_Price,ATR_Pct
2026-08-25,WMT,Walmart,Core_Dragon,38.3,-4.67,9,False,False,True,False,10-14天,$101,65,pending,106.49,2.81
2026-08-25,GOOGL,Alphabet Inc. (Class A),Core_Dragon,49.5,-0.4,8,False,True,False,True,10-14天,$330,72,pending,348.06,2.68
2026-08-25,CMG,Chipotle Mexican Grill,Core_Dragon,65.8,10.1,5,False,True,False,False,7-10天,$36,66,pending,38.02,3.71
2026-08-25,ORCL,Oracle Corporation,Core_Dragon,49.1,0.37,0,False,True,False,False,10-14天,$135,63,pending,142.45,4.86
2026-08-25,UBER,Uber,Core_Dragon,63.0,6.57,5,False,True,False,False,10-14天,$75,68,pending,79.29,3.35
